epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.68793,0.9781,0.73064,1.09559,0.8213,0.91489,0.90097,0.60705,1.01414,0.69573,1.11715,0.00025722,0.00025722,0.00025722
2,16.5846,0.96627,0.71279,1.07933,0.82102,0.94044,0.92879,0.63593,0.99667,0.8768,1.11378,0.000493834,0.000493834,0.000493834
3,24.575,0.96644,0.70496,1.08398,0.8346,0.91659,0.92508,0.61806,1.03135,0.74932,1.12731,0.000694608,0.000694608,0.000694608
4,31.0959,0.96159,0.71363,1.09626,0.82428,0.87155,0.92125,0.61431,1.03545,0.70953,1.1337,0.000859543,0.000859543,0.000859543
5,38.2423,0.99502,0.72413,1.10909,0.81233,0.90414,0.91493,0.61161,1.03274,0.7228,1.13248,0.000988639,0.000988639,0.000988639
6,46.6893,0.97073,0.76104,1.09343,0.85497,0.86262,0.90562,0.59632,1.1246,0.74536,1.18459,0.00095743,0.00095743,0.00095743
7,53.5176,0.97037,0.70899,1.10702,0.81798,0.92909,0.92132,0.61661,1.10893,0.72754,1.16953,0.000863116,0.000863116,0.000863116
8,60.2665,0.96122,0.68153,1.09844,0.84008,0.92276,0.91954,0.61633,1.06849,0.71193,1.15619,0.000768802,0.000768802,0.000768802
9,66.8901,0.93634,0.66655,1.07938,0.84299,0.89315,0.91535,0.61638,1.02549,0.73459,1.1487,0.000674488,0.000674488,0.000674488
10,73.6165,0.93796,0.64391,1.07344,0.86781,0.90192,0.91928,0.63106,1.00714,0.6866,1.13288,0.000580174,0.000580174,0.000580174
11,80.1841,0.91522,0.62726,1.07034,0.85865,0.87751,0.90408,0.61282,1.03488,0.90102,1.14276,0.00048586,0.00048586,0.00048586
12,87.1616,0.91085,0.62097,1.06232,0.83558,0.91615,0.91891,0.62229,1.07856,0.7007,1.18383,0.000391546,0.000391546,0.000391546
13,93.6281,0.89492,0.61781,1.06011,0.83203,0.91066,0.92485,0.63746,1.01303,0.66226,1.13001,0.000297232,0.000297232,0.000297232
14,101.087,0.88698,0.60229,1.06753,0.84891,0.91161,0.92636,0.63503,1.01965,0.7006,1.14066,0.000202918,0.000202918,0.000202918
15,107.575,0.86553,0.57408,1.04308,0.84981,0.91323,0.9251,0.63594,1.01667,0.67784,1.12903,0.000108604,0.000108604,0.000108604
